qid,label,text_a,text_cut,pred
91,1,很一般的五星级酒店， 周边的环境感觉很乱,很 一般 的 五星级 酒店 ，   周边 的 环境 感觉 很 乱,0
92,1,首先是服务很好，南方的服务水准普遍比北方高，让人宾至如归的感觉，电梯口有个小妹询问去的楼层，以为是电梯迎宾，可接着推荐去娱乐楼层，这给住客不好的印象。硬件很普通，也就三星水准。早餐很一般，携程30元也没有特别便宜。,首先 是 服务 很 好 ， 南方 的 服务 水准 普遍 比 北方 高 ， 让 人 宾至如归 的 感觉 ， 电梯 口有 个 小妹 询问 去 的 楼层 ， 以为 是 电梯 迎宾 ， 可 接着 推荐 去 娱乐 楼层 ， 这 给 住客 不好 的 印象 。 硬件 很 普通 ， 也 就 三星 水准 。 早餐 很 一般 ， 携程 30 元 也 没有 特别 便宜 。,0
97,1,买之前看过一堆评测，加之EeePC的前一代10寸本我也用过，所以看到它的电池评测后就是它了！三星NC10电池跟它有一比，可价格没得比，比它贵400块！ 使用了几天，主要躺床上看网页，看美剧，一晚上之后电池还有余量。禁用它的触摸板，配上自己买的雷柏7100无线鼠标，嘿嘿，只能用两个字形容：安逸！,买 之前 看过 一堆 评测 ， 加之 EeePC 的 前 一代 10 寸本 我 也 用 过 ， 所以 看到 它 的 电池 评测 后 就是 它 了 ！ 三星 NC10 电池 跟 它 有 一比 ， 可 价格 没得 比 ， 比 它 贵 400 块 ！   使用 了 几天 ， 主要 躺 床上 看 网页 ， 看美剧 ， 一 晚上 之后 电池 还有 余量 。 禁用 它 的 触摸板 ， 配 上 自己 买 的 雷柏 7100 无线 鼠标 ， 嘿嘿 ， 只能 用 两个 字 形容 ： 安逸 ！,0
103,1,最早认识张曼娟，是在张清芳的CD上边，作为一位写词人。细腻的文字连歌词也写得像情书，小女人的楚楚婉婉。后来才知道，张曼娟也是作家。于是，开始计划读她的书，挑了这本很奇怪的名字。《张曼娟妖物志》——写妖物，也写人——最喜欢里边的《永恒遗失│女螺》。张曼娟的文字没有讲过大道理，但是留有思考的余地。“也许错身未知；也许缄封成秘；也许不愿承认，妖物活在你心里。”,最早 认识 张曼娟 ， 是 在 张清芳 的 CD 上边 ， 作为 一位 写 词人 。 细腻 的 文字 连 歌词 也 写 得 像 情书 ， 小 女人 的 楚楚 婉婉 。 后来 才 知道 ， 张曼娟 也 是 作家 。 于是 ， 开始 计划 读 她 的 书 ， 挑 了 这本 很 奇怪 的 名字 。 《 张曼娟 妖物 志 》 — — 写 妖物 ， 也 写 人 — — 最 喜欢 里边 的 《 永恒 遗失 │ 女螺 》 。 张曼娟 的 文字 没有 讲过 大道理 ， 但是 留有 思考 的 余地 。 “ 也许 错身 未知 ； 也许 缄封 成秘 ； 也许 不愿 承认 ， 妖物 活在 你 心里 。 ”,0
107,1,"除了离机场近,没什么可说的了.应该没有5星的.","除了 离 机场 近 , 没什么 可说 的 了 . 应该 没有 5 星 的 .",0
113,1,轻巧，适合女士和商务人士使用，think的口碑在那里放着的，键盘是全尺寸的，什么人用都合适。,轻巧 ， 适合 女士 和 商务人士 使用 ， think 的 口碑 在 那里 放着 的 ， 键盘 是 全 尺寸 的 ， 什么 人用 都 合适 。,0
115,1,"首先性价比不错,收到货屏幕没有坏点,送了散热底座温度控制能平均低12度左右 ,不运行大程序发热不大,各种接口比较齐全,安装系统的时候如果不懂一点专业知识很难安装,首先开机后按照提示按F2进入BIOS,将MAIN下面模式改成IDE接口,然后将启动项目改为光驱启动,删掉预装系统后才好安装XP,基本上GHOST版的系统是安装不了的,只能用安装盘安装.","首先 性价比 不错 , 收到 货 屏幕 没有 坏点 , 送 了 散热 底座 温度控制 能 平均 低 12 度 左右   , 不 运行 大 程序 发热 不 大 , 各种 接口 比较 齐全 , 安装 系统 的 时候 如果 不 懂 一点 专业知识 很难 安装 , 首先 开机 后 按照 提示 按 F2 进入 BIOS , 将 MAIN 下面 模式 改成 IDE 接口 , 然后 将 启动 项目 改为 光驱 启动 , 删掉 预装 系统 后 才 好 安装 XP , 基本上 GHOST 版 的 系统 是 安装 不了 的 , 只能 用 安装盘 安装 .",0
118,1,这个系列的书，如《说康熙》、《说雍正》题材都很吸引我。试着在网上下载了一些《文化中国》纪老师的视频，都觉得还是看书比较过瘾。然而，不得不说出版社在校稿上不够认真，继《说康熙》中一处平三藩始末年份的错误后，本书第114页第二段中济尔哈朗与多尔衮的年纪相差了13岁，文中却说相关3岁。另外，看完这个系列的书，发现《说康熙》和《说孝庄》在内容方面重复过多。有些段落甚至一字不差，有凑字数之嫌。,这个 系列 的 书 ， 如 《 说 康熙 》 、 《 说 雍正 》 题材 都 很 吸引 我 。 试着 在 网上 下载 了 一些 《 文化 中国 》 纪 老师 的 视频 ， 都 觉得 还是 看书 比较 过瘾 。 然而 ， 不得不 说 出版社 在 校稿 上 不够 认真 ， 继 《 说 康熙 》 中 一处 平三藩 始末 年份 的 错误 后 ， 本书 第 114 页 第二段 中济尔哈朗 与 多尔衮 的 年纪 相差 了 13 岁 ， 文中 却说 相关 3 岁 。 另外 ， 看 完 这个 系列 的 书 ， 发现 《 说 康熙 》 和 《 说 孝庄 》 在 内容 方面 重复 过多 。 有些 段落 甚至 一字不差 ， 有 凑 字数 之 嫌 。,0
136,1,发现了不少错别字……也许是新换的输入法不太适应，也许是心情过于激动自我反省中……,发现 了 不少 错别字 … … 也许 是 新换 的 输入法 不太 适应 ， 也许 是 心情 过于 激动 自我 反省 中 … …,0
144,1,豪华阁的客房和普通客房差距较大，普通客房都显得比较陈旧，经常听说外国客人遇到房间免费升级，中国人倒是没有遇到过！,豪华 阁 的 客房 和 普通 客房 差距 较大 ， 普通 客房 都 显得 比较 陈旧 ， 经常 听说 外国 客人 遇到 房间 免费 升级 ， 中国 人 倒 是 没有 遇到 过 ！,0
151,1,"大年初一入住的，是西楼的海景标房，酒店比较陈旧了，房间很小，奇怪的是不开空调都热得不行。西楼是一期，东楼是二期，但西楼更靠海。海景标房都是在楼的两面，所以看海景都需要侧头的，有点累哦。但到底是老五星了，服务效率很高，送什么都很快，酒店柜台的服务生都很殷勤和礼貌。我把携程的预订单带着为了可以看飞机时刻，结果在check in时忘柜台了，当晚打到柜台让留着会去拿，结果转身就忘了。四天后要飞的那天才想起，打到柜台居然还在，大概五分钟后就有小弟给我送来了，很开心。另有一点,我们在酒店的咖啡厅用过一顿早餐，小姐很可爱，但是苦心等待等来的黑椒牛肉却咸涩异常，不晓得是当地人口味如此还是我们的运气不好。","大年初一 入住 的 ， 是 西楼 的 海景 标房 ， 酒店 比较 陈旧 了 ， 房间 很小 ， 奇怪的是 不 开 空调 都 热得 不行 。 西楼 是 一期 ， 东楼 是 二期 ， 但 西楼 更 靠海 。 海景 标房 都 是 在 楼 的 两面 ， 所以 看 海景 都 需要 侧头 的 ， 有点累 哦 。 但 到底 是 老 五星 了 ， 服务 效率 很 高 ， 送 什么 都 很快 ， 酒店 柜台 的 服务生 都 很 殷勤 和 礼貌 。 我 把 携程 的 预订单 带 着 为了 可以 看 飞机 时刻 ， 结果 在 check   in 时 忘 柜台 了 ， 当晚 打 到 柜台 让 留 着 会 去 拿 ， 结果 转身 就 忘 了 。 四天 后要 飞 的 那天 才 想起 ， 打 到 柜台 居然 还 在 ， 大概 五分钟 后 就 有 小弟 给 我 送来 了 ， 很 开心 。 另有 一点 , 我们 在 酒店 的 咖啡厅 用过 一顿 早餐 ， 小姐 很 可爱 ， 但是 苦心 等待 等 来 的 黑椒 牛肉 却 咸涩 异常 ， 不 晓得 是 当地人 口味 如此 还是 我们 的 运气 不好 。",0
167,0,房间设备比较陈旧，没五星标准 客人非常不满意,房间 设备 比较 陈旧 ， 没 五星 标准   客人 非常 不 满意,1
175,1,看完“千山”，意犹未尽。故事还没结束，这是我一看完就有的念头。我强烈要求匪大写续集，我想这不是我一个人的想法。因为“莫生”的故事还有很多想像的空间，还有很多未交待的情节，看“千山”是我泪流得最少的一本，比景年的还要少，证明这书还没到“戏肉”。所以匪大你就算不定续集，至少也写几个翻外来满足一下我们好了。,看 完 “ 千山 ” ， 意犹未尽 。 故事 还 没 结束 ， 这 是 我 一 看 完 就 有 的 念头 。 我 强烈要求 匪 大写 续集 ， 我 想 这 不是 我 一个 人 的 想法 。 因为 “ 莫生 ” 的 故事 还有 很多 想像 的 空间 ， 还有 很多 未 交待 的 情节 ， 看 “ 千山 ” 是 我 泪流 得 最少 的 一本 ， 比景年 的 还要 少 ， 证明 这书 还 没到 “ 戏肉 ” 。 所以 匪大 你 就算 不定 续集 ， 至少 也 写 几个 翻 外来 满足 一下 我们 好 了 。,0
187,1,"游泳池在装修，没有事先通知，这点很不好,否则我就不订了","游泳池 在 装修 ， 没有 事先 通知 ， 这点 很 不好 , 否则 我 就 不订 了",0
190,1,老者还知道你很好奇，知道你有疑问，他还允许你提问，然后他会用他渊博的见识，耐心地为你分析，合情合理，还不乱下结论，好像在和你互动。,老者 还 知道 你 很 好奇 ， 知道 你 有 疑问 ， 他 还 允许 你 提问 ， 然后 他会用 他 渊博 的 见识 ， 耐心 地为 你 分析 ， 合情合理 ， 还 不乱 下结论 ， 好像 在 和 你 互动 。,0
201,0,本人拿到这本书后，迫不及待地一口气看完，感觉还是蛮实用的。作者在文中提到的自制豆浆养颜，我觉得挺有道理的，上周就去店里买了一只豆浆机，每天喝上一大杯。还是几个痛经小秘方，本人已试用过了，效果还不错。呵呵，总之这本书不错。,本人 拿到 这 本书 后 ， 迫不及待 地 一口气 看 完 ， 感觉 还是 蛮 实用 的 。 作者 在 文中 提到 的 自制 豆浆 养颜 ， 我 觉得 挺 有 道理 的 ， 上周 就 去 店里 买 了 一只 豆浆机 ， 每天 喝上 一大 杯 。 还是 几个 痛经 小秘方 ， 本人 已 试用 过 了 ， 效果 还 不错 。 呵呵 ， 总之 这 本书 不错 。,1
210,1,地理位置还行，就在县城中心，出行比较方便。而且下面临河，风景也还说得过去。但因为是老酒店了，设备当然很一般。而早餐就惨不忍睹了——居然只有8样，一点不像是三星标准提供的早餐！另外，可能会要求你10点前退房，而不是12点！,地理位置 还 行 ， 就 在 县城 中心 ， 出行 比较 方便 。 而且 下面 临河 ， 风景 也 还 说得过去 。 但 因为 是 老 酒店 了 ， 设备 当然 很 一般 。 而 早餐 就 惨不忍睹 了 — — 居然 只有 8 样 ， 一点 不 像是 三星 标准 提供 的 早餐 ！ 另外 ， 可能 会 要求 你 10 点前 退房 ， 而 不是 12 点 ！,0
221,0,设计上的问题，电源、硬盘灯设计到了机器比较靠底部的地方，看起来非常不方便。,设计 上 的 问题 ， 电源 、 硬盘 灯 设计 到 了 机器 比较 靠 底部 的 地方 ， 看起来 非常 不 方便 。,1
233,0,酒店设施、环境很差，很不舒适，非常不满意！,酒店设施 、 环境 很差 ， 很 不 舒适 ， 非常 不 满意 ！,1
234,0,"服务态度相当差,我接触到的上海宾馆服务多半是这样,可能这是地域文化吧(不知道这句话算不算不文明用词) 宾馆反馈 2008年7月22日 ： 尊敬的宾客您好!对于您在酒店遇到的不快我们深表歉意,我们真诚的希望每一位顾客都能在我们酒店度过一段美好的时光,如您在酒店遇到困难可第一时间联系酒店的大堂经理,我们会及时为您排忧解难,给您一个满意的回复,期待您的再次光临!","服务态度 相当 差 , 我 接触 到 的 上海 宾馆 服务 多半 是 这样 , 可能 这是 地域 文化 吧 ( 不 知道 这句 话 算不算 不 文明 用词 )   宾馆 反馈   2008 年 7 月 22 日   ：   尊敬 的 宾客 您好 ! 对于 您 在 酒店 遇到 的 不快 我们 深表歉意 , 我们 真诚 的 希望 每 一位 顾客 都 能 在 我们 酒店 度过 一段 美好 的 时光 , 如 您 在 酒店 遇到困难 可 第一 时间 联系 酒店 的 大堂 经理 , 我们 会 及时 为 您 排忧解难 , 给 您 一个 满意 的 回复 , 期待 您 的 再次 光临 !",1
236,1,有很长时间没有在西藏大厦住了，以前去北京在这里住的较多。这次住进来发现换了液晶电视，但网络不是很好，他们自己说是收费的原因造成的。其它还好。,有 很 长时间 没有 在 西藏 大厦 住 了 ， 以前 去 北京 在 这里 住 的 较 多 。 这次 住 进来 发现 换 了 液晶电视 ， 但 网络 不是 很 好 ， 他们 自己 说 是 收费 的 原因 造成 的 。 其它 还好 。,0
238,0,这个百花出版社的版本就不像正版小说，错字别字也不少，看着都不通顺，真是郁闷！不知道原版小说是哪个，去哪里可以买到呢,这个 百花 出版社 的 版本 就 不 像 正版 小说 ， 错字 别字 也 不少 ， 看着 都 不 通顺 ， 真是 郁闷 ！ 不 知道 原版 小说 是 哪个 ， 去 哪里 可以 买到 呢,1
239,0,屏幕没有坏点和暗点，这个比较不错。配置性价比较高，目前使用已有半个月，基本正常。,屏幕 没有 坏点 和 暗点 ， 这个 比较 不错 。 配置 性价比 较 高 ， 目前 使用 已有 半个 月 ， 基本 正常 。,1
242,1,房间超大，不是一般的大。哈哈哈哈哈哈哈哈哈哈 补充点评 2008年8月11日 ： 周围吃东西的地方比较少。,房间 超大 ， 不是 一般 的 大 。 哈哈哈哈 哈哈哈 哈哈哈   补充 点评   2008 年 8 月 11 日   ：   周围 吃 东西 的 地方 比较 少 。,0
259,0,用调侃通俗的手法写明朝历史，既普及了历史，又让读者享受了阅读的快感，谢谢当年明月，太有才了！,用 调侃 通俗 的 手法 写 明朝 历史 ， 既 普及 了 历史 ， 又 让 读者 享受 了 阅读 的 快感 ， 谢谢 当年 明月 ， 太有 才 了 ！,1
266,1,住了一次，还算可以。不过携程的房间一向不好,住 了 一次 ， 还 算 可以 。 不过 携程 的 房间 一向 不好,0
267,1,"酒店设施相对4星稍显陈旧,而且上网要另外收费不合理,不过服务员是我见过最热情的了,不但跑了三楼(我坐电梯,但是电梯门坏了,她出去摆弄,门就关上了)给我开门,还进门帮我开热水,还帮我往水壶里装水,真是热情到....早餐不是自助的,10元的早餐没什么可吃的,只能是填饱肚子了,性价比一般!","酒店设施 相对 4 星 稍 显 陈旧 , 而且 上网 要 另外 收费 不合理 , 不过 服务员 是 我 见 过 最 热情 的 了 , 不但 跑 了 三楼 ( 我 坐电梯 , 但是 电梯门 坏 了 , 她 出去 摆弄 , 门 就 关上 了 ) 给 我 开门 , 还 进门 帮 我 开 热水 , 还 帮 我 往 水壶 里 装水 , 真是 热情 到 .... 早餐 不是 自助 的 , 10 元 的 早餐 没什么 可 吃 的 , 只能 是 填饱 肚子 了 , 性价比 一般 !",0
277,1,终于可以打分了，打五星吧，实在太喜欢这本书了关于彭老这本书，个人认为怎么赞美都不为过。原因有三：1.语言通俗易懂、浅显易懂，容易阅读理解2.理论深入透彻，直指中医本质。3.内容系统完整，层次分明,终于 可以 打分 了 ， 打 五星 吧 ， 实在 太 喜欢 这 本书 了 关于 彭老 这 本书 ， 个人 认为 怎么 赞美 都 不为过 。 原因 有 三 ： 1 . 语言 通俗易懂 、 浅显易懂 ， 容易 阅读 理解 2 . 理论 深入 透彻 ， 直指 中医 本质 。 3 . 内容 系统 完整 ， 层次分明,0
286,1,这个宾馆比较陈旧了，特价的房间也很一般。总体来说一般,这个 宾馆 比较 陈旧 了 ， 特价 的 房间 也 很 一般 。 总体 来说 一般,0
298,0,"之前已住过该酒店觉得还可以,但这次感觉却非常糟糕,安排入住的竟然是一间没窗的房间,由于当时比较晚又是唯一的一间房,不得不住,但到现在想起都心有余悸,如那天碰巧有火灾那我怎么办?其实一直有个疑问,为什么通过携程订的房间不是在边上就是在哪一个角?现在还有没窗的!价格问题? 宾馆反馈 2008年4月22日 ： 首先非常感谢您对酒店的评价，对于您在酒店所感觉的不适，我们深表歉意！携程一直是酒店的重要合作伙伴，对携程的客户我们一直尽量提供最优质的服务，但因酒店建筑格局原因，有三间房间为无窗格局，客人当天预订时较晚，酒店房间较紧张，只有无窗的房间安排。但前台在安排客人入住此类型房间前，均会与客人做好沟通。对于客人所提出的安全问题，此房间除无窗外其它设施设备都一样，且酒店消防系统齐全，每年都有通过消防部门的有关审核，确保客户的生命安全。再次感谢阁下的意见，期待您的再次光临！","之前 已住 过 该 酒店 觉得 还 可以 , 但 这次 感觉 却 非常 糟糕 , 安排 入住 的 竟然 是 一间 没窗 的 房间 , 由于 当时 比较 晚 又 是 唯一 的 一间 房 , 不得不 住 , 但 到 现在 想起 都 心有余悸 , 如 那天 碰巧 有 火灾 那 我 怎么办 ? 其实 一直 有个 疑问 , 为什么 通过 携程 订 的 房间 不是 在 边上 就是 在 哪 一个角 ? 现在 还有 没窗 的 ! 价格 问题 ?   宾馆 反馈   2008 年 4 月 22 日   ：   首先 非常 感谢您 对 酒店 的 评价 ， 对于 您 在 酒店 所 感觉 的 不适 ， 我们 深表歉意 ！ 携程 一直 是 酒店 的 重要 合作伙伴 ， 对 携程 的 客户 我们 一直 尽量 提供 最 优质 的 服务 ， 但 因 酒店 建筑 格局 原因 ， 有 三间 房间 为 无窗 格局 ， 客人 当天 预订 时 较晚 ， 酒店 房间 较 紧张 ， 只有 无窗 的 房间 安排 。 但 前台 在 安排 客人 入住 此 类型 房间 前 ， 均会 与 客人 做好 沟通 。 对于 客人 所 提出 的 安全 问题 ， 此 房间 除 无 窗外 其它 设施 设备 都 一样 ， 且 酒店 消防系统 齐全 ， 每年 都 有 通过 消防 部门 的 有关 审核 ， 确保 客户 的 生命安全 。 再次 感谢 阁下 的 意见 ， 期待 您 的 再次 光临 ！",1
305,0,这书也能推荐？重点几乎都在为自己说好话树立好形象以及就关于某场官司的自辩上了，有钱就是好，还能出本这样的书～,这书 也 能 推荐 ？ 重点 几乎 都 在 为 自己 说 好话 树立 好 形象 以及 就 关于 某场 官司 的 自辩 上 了 ， 有钱 就是 好 ， 还 能 出本 这样 的 书 ～,1
308,0,最近变成了四星，好像房间装修过了。餐厅也装修过了。早餐不错。呵呵，继续努力哦,最近 变成 了 四星 ， 好像 房间 装修 过 了 。 餐厅 也 装修 过 了 。 早餐 不错 。 呵呵 ， 继续 努力 哦,1
317,1,优点是众所周知的，身边很多朋友都在用，不然也不会买。但我没心思说，原因在下面。,优点 是 众所周知 的 ， 身边 很多 朋友 都 在 用 ， 不然 也 不会 买 。 但 我 没 心思 说 ， 原因 在 下面 。,0
326,1,"装修较旧,特别是地毯的材质颜色显得较脏,与四星的评级很不相称,门童很热情,赞一个","装修 较 旧 , 特别 是 地毯 的 材质 颜色 显得 较脏 , 与 四星 的 评级 很 不相称 , 门童 很 热情 , 赞 一个",0
